Category,Size,File,Algorithm,Time(us),Comparisons,Swaps
random,1000,data_212.txt,InsertionSort,764,250978,249983
random,1000,data_212.txt,QuickSort,159,12103,7107
random,1000,data_212.txt,MergeSort,277,8714,8714
random,1000,data_213.txt,InsertionSort,738,245063,244073
random,1000,data_213.txt,QuickSort,90,11332,6906
random,1000,data_213.txt,MergeSort,242,8685,8685
random,1000,data_214.txt,InsertionSort,781,254990,253998
random,1000,data_214.txt,QuickSort,87,10814,5962
random,1000,data_214.txt,MergeSort,245,8711,8711
random,1000,data_215.txt,InsertionSort,749,243498,242503
random,1000,data_215.txt,QuickSort,102,11145,6296
random,1000,data_215.txt,MergeSort,244,8722,8722
random,1000,data_216.txt,InsertionSort,810,249822,248833
random,1000,data_216.txt,QuickSort,142,10437,5331
random,1000,data_216.txt,MergeSort,369,8710,8710
random,1000,data_217.txt,InsertionSort,1179,249615,248621
random,1000,data_217.txt,QuickSort,101,11837,5961
random,1000,data_217.txt,MergeSort,269,8660,8660
random,1000,data_218.txt,InsertionSort,841,247186,246196
random,1000,data_218.txt,QuickSort,98,10547,6526
random,1000,data_218.txt,MergeSort,264,8702,8702
random,1000,data_219.txt,InsertionSort,1465,253153,252165
random,1000,data_219.txt,QuickSort,92,10274,5356
random,1000,data_219.txt,MergeSort,247,8710,8710
random,1000,data_22.txt,InsertionSort,760,245758,244761
random,1000,data_22.txt,QuickSort,87,10292,5718
random,1000,data_22.txt,MergeSort,241,8716,8716
random,1000,data_220.txt,InsertionSort,884,259092,258101
random,1000,data_220.txt,QuickSort,95,10348,5665
random,1000,data_220.txt,MergeSort,262,8719,8719
random,1000,data_221.txt,InsertionSort,838,246088,245097
random,1000,data_221.txt,QuickSort,95,12201,6212
random,1000,data_221.txt,MergeSort,264,8722,8722
random,1000,data_222.txt,InsertionSort,804,239109,238116
random,1000,data_222.txt,QuickSort,94,11368,5966
random,1000,data_222.txt,MergeSort,265,8693,8693
random,1000,data_223.txt,InsertionSort,830,246780,245788
random,1000,data_223.txt,QuickSort,96,9937,6100
random,1000,data_223.txt,MergeSort,263,8719,8719
random,1000,data_224.txt,InsertionSort,757,235585,234590
random,1000,data_224.txt,QuickSort,148,12097,7358
random,1000,data_224.txt,MergeSort,241,8694,8694
random,1000,data_225.txt,InsertionSort,1376,235845,234851
random,1000,data_225.txt,QuickSort,127,11176,7147
random,1000,data_225.txt,MergeSort,247,8700,8700
random,1000,data_226.txt,InsertionSort,747,241476,240484
random,1000,data_226.txt,QuickSort,90,10701,6126
random,1000,data_226.txt,MergeSort,242,8688,8688
random,1000,data_227.txt,InsertionSort,823,248015,247025
random,1000,data_227.txt,QuickSort,111,10645,6009
random,1000,data_227.txt,MergeSort,244,8712,8712
random,1000,data_228.txt,InsertionSort,782,251738,250746
random,1000,data_228.txt,QuickSort,94,11499,6589
random,1000,data_228.txt,MergeSort,250,8722,8722
random,1000,data_229.txt,InsertionSort,1448,250200,249205
random,1000,data_229.txt,QuickSort,88,11517,6401
random,1000,data_229.txt,MergeSort,306,8735,8735
random,1000,data_23.txt,InsertionSort,1447,248677,247693
random,1000,data_23.txt,QuickSort,86,10548,5503
random,1000,data_23.txt,MergeSort,245,8690,8690
random,1000,data_230.txt,InsertionSort,756,249352,248360
random,1000,data_230.txt,QuickSort,87,10659,5779
